念	思
密	稠
原	本
饿	饥
绘	画
贫	穷
拭	擦
哭	泣
始	初
回	归
哀	悲
鸣	啼
鸣	叫
踏	踩
速	快
初	始
瞥	瞅
瞥	瞧
与	取
美	好
尽	绝
窃	盗
俏	俊
观	看
观	瞧
沉	重
抹	拭
泊	停
抹	擦
瞧	瞅
绝	尽
思	念
稠	密
明	亮
宽	阔
碰	撞
博	专
就	即
国	邦
见	睹
睹	见
就	便
遁	逃
愚	傻
挨	打
住	宿
开	启
助	帮
闭	关
打	挨
舟	船
乏	累
重	沉
做	干
殁	亡
矮	低
刚	刚刚
卒	兵
归	回
遥	远
顾	瞅
掩	遮
凉	冷
宿	住
修	建
掀	揭
共	同
尔	我
搞	弄
欠	短
足	脚
追	赶
都	皆
饱	鼓
坚	脆
鳏	寡
揩	擦
实	真
皆	都
捕	搜捕
陈	旧
善	擅
进	入
接	交
摆	晃
擦	揩
说	讲
避	躲
撞	碰
专	博
肥	胖
赶	追
真	实
不	没有
本	原
遮	掩
名	实
二	两
说	道
脚	足
丑	丑恶
乘	趁
两	二
拣	捡
张	弛
售	卖
掘	挖
下	停
瘪	秕
瞅	看
瞅	望
瞅	顾
授	受
脆	坚
讲	道
匪	盗
傻	愚
展	铺
晨	朝
宰	杀
缚	拘束
烧	焚
阔	宽
擅	善
或	或许
朝	晨
或	或者
捡	拣
杀	宰
低	矮
乌	黑
躲	避
我	尔
即	便
寡	鳏
净	洁
撒	洒
慢	缓
洒	撒
入	进
兵	卒
扔	抛
放	搁
藏	躲
匿	躲
匿	藏
闻	听
齐	全
温	暖
违	背
望	看
笨	蠢
亮	明
往	去
搁	放
凡	平常
凡	凡是
路	道
黑	乌
看	瞅
亡	灭
建	修
加	添
燃	焚
叫	喊
缺	短
买	购
全	齐
洁	净
去	往
晃	摆
寒	冷
缓	慢
道	讲
铺	展
取	与
卖	售
抛	扔
决	绝
蠢	笨
泣	哭
枯	干
落	降
弛	张
弯	曲
灭	亡
挖	掘
佳	好
涂	擦
涂	抹
投	抛
鼓	饱
降	落
对	对于
偷	盗
船	舟
痛	疼
同	共
矬	矮
听	闻
累	乏
便	即
旧	陈
揭	掀
添	加
聊	谈
伴	陪
快	速
俊	俏
蒙	受
关	闭
干	做
秕	瘪
啼	叫
启	开
踩	踏
胖	肥
邦	国
悲	哀
暖	温
交	接
喊	叫
疼	痛
流	淌
帮	助
购	买
画	绘
冷	凉
逃	遁
击	打
远	遥
偏	偏偏
曲	弯
淌	流
谈	聊
谈	路
饥	饿
穷	贫
烽火	人烟
阿谁	那个
阿姨	姨妈
阿谀	谄媚
阿谀	谄谀
阿谀	捧场
阿谀	恭维
翌晚	信宿
肄业	肆业
意会	领会
意会	默契
意会	体认
哀愁	忧闷
哀愁	忧虑
哀愁	忧愁
哀辞	悼词
哀悼	追悼
哀悼	哀思
哀悼	哀伤
哀悼	悲悼
哀告	乞求
哀告	苦求
哀告	申请
哀号	叹伤
哀号	悲泣
哀号	悲叹
意见	见识
意见	看法
哀哭	痛哭
哀怜	怜悯
哀怜	可怜
哀泣	哀哭
哀求	乞求
哀求	恳求
哀伤	懊丧
哀伤	忧伤
哀思	哀伤
哀思	哀愁
哀叹	悲叹
哀痛	哀思
哀痛	哀悼
哀痛	哀伤
意见	私见
意料	意想
挨次	依次
挨次	按序
挨次	递次
挨次	顺序
挨饿	受饿
挨近	逼近
挨近	贴近
挨近	切近
挨近	靠近
意料	预见
矮小	弱小
矮小	瘦小
矮壮	敦实
矮子	侏儒
矮子	矬子
意气	义气
意识	认识
意思	意义
意思	事理
意思	道理
意思	乐趣
意思	有趣
意图	企图
意图	妄念
爱崇	尊崇
爱戴	崇拜
爱戴	敬重
爱戴	保护
爱戴	爱护
爱戴	拥戴
爱戴	爱慕
爱戴	敬爱
爱抚	抚摸
爱抚	爱护
意外	不料
爱好	喜好
爱护	庇护
爱护	爱慕
爱护	保护
爱护	爱惜
爱静	娴静
爱怜	怜爱
爱美	爱漂亮
意味	表示
爱慕	仰慕
爱慕	崇拜
爱慕	向往
爱慕	倾慕
爱慕	崇敬
爱慕	羡慕
爱慕	庇护
爱慕	爱惜
爱情	恋情
爱人	恋人
爱惜	佩服
爱惜	保护
爱惜	怜悯
爱惜	包庇
爱惜	庇护
意想	预见
暧昧	暗昧
暧昧	笼统
意想	意料
意向	理想
安步	漫步
安步	徐行
意向	幻想
安插	就寝
安插	安放
安插	安置
安产	顺产
安定	平安
安定	安稳
安定	安宁
安定	安心
安定	安静
安定	宁靖
安顿	部署
安顿	放置
安放	睡觉
安放	安插
安放	安置
安放	就寝
意向	志愿
意向	梦想
意义	意旨
安抚	宽慰
安抚	抚慰
安抚	安慰
安好	宁静
安好	和平
安好	安乐
意义	意思
意愿	志愿
意愿	心愿
安靖	安祥
安靖	平静
安静	沉寂
安静	恬静
安静	寂静
安静	沉着
安静	安适
安静	安闲
毅力	意志
安康	健康
安乐	安然
安乐	宁静
安乐	康乐
安谧	寂静
安谧	宁静
安眠	安息
安宁	宁静
安宁	安静
安宁	安稳
安排	安顿
安全	平安
安全	安然
安然	安定
安然	安适
毅然	坚决
毅然	断然
安如	安若
毅然	倔强
毅然	决然
毅然	判断
臆测	揣测
安若	安如
臆测	猜测
臆测	臆度
安设	安置
安身	立足
臆度	臆想
安适	安逸
安适	悠闲
安适	宁静
安适	安闲
臆度	估计
臆想	推度
安泰	安乐
安妥	妥当
安妥	稳妥
臆想	估计
臆造	编造
臆造	辟谣
安慰	抚慰
安稳	从容
安稳	平稳
安息	安眠
安息	平息
安息	歇息
安息	休息
安闲	安稳
